sku,name,category,price,cost,stock,description,attributes,compatibility,delivery_days,return_days,warranty
HDP-001,Airwave Pro Wireless,headphones,7499,4600,60,Lightweight wireless headphones for gaming and office meetings. Clear microphone and long battery life.,"{""wireless"": true, ""battery_hours"": 40, ""weight_g"": 210, ""microphone"": true}",[],3,7,1 year manufacturer warranty
MON-001,Viewpoint 24 IPS,monitors,12499,7800,60,Full HD IPS office monitor with HDMI and ergonomic stand.,"{""size_inches"": 24, ""resolution"": ""1080p"", ""refresh_hz"": 100}",[],3,7,1 year manufacturer warranty
KEY-001,Keycraft Mechanical,keyboards,3499,1900,60,Compact wireless mechanical keyboard for office and gaming.,"{""wireless"": true, ""layout"": ""TKL""}",[],3,7,1 year manufacturer warranty
CHR-001,Volt 65W GaN,chargers,2499,1200,60,Compact USB-C fast charger for laptops and devices.,"{""watts"": 65, ""connector"": ""USB-C""}","[""LAP-001""]",3,7,1 year manufacturer warranty
ADP-001,Link Bluetooth 5.3,adapters,499,200,60,Bluetooth adapter connects wireless headphones to an office PC.,"{""wireless"": true, ""connector"": ""USB-A""}","[""HDP-001""]",3,7,1 year manufacturer warranty
MOU-001,Glide Silent Mouse,mice,1299,650,60,Light wireless office mouse with silent clicks.,"{""wireless"": true, ""weight_g"": 70}",[],3,7,1 year manufacturer warranty
LAP-001,Workstation Air 14,laptops,64999,45000,60,Portable office laptop with a 14-inch display and USB-C charging.,"{""ram_gb"": 16, ""storage_gb"": 512}",[],3,7,1 year manufacturer warranty
HDS-001,Studio Wired Reference,headphones,5499,3200,60,Wired studio headphones for detailed sound.,"{""wireless"": false, ""weight_g"": 280}",[],3,7,1 year manufacturer warranty
M32-001,Viewpoint 32 QHD,monitors,24999,16000,60,Large QHD productivity monitor with vivid IPS display.,"{""size_inches"": 32, ""resolution"": ""1440p""}",[],3,7,1 year manufacturer warranty
HUB-001,Dock Seven USB-C,adapters,3999,2200,60,Seven port USB-C dock with HDMI and USB accessories.,"{""connector"": ""USB-C"", ""ports"": 7}","[""LAP-001""]",3,7,1 year manufacturer warranty
HDP-002,Airwave Pro Wireless · Series 2,headphones,7599,4600,57,Lightweight wireless headphones for gaming and office meetings. Clear microphone and long battery life.,"{""wireless"": true, ""battery_hours"": 40, ""weight_g"": 210, ""microphone"": true}",[],4,7,1 year manufacturer warranty
MON-002,Viewpoint 24 IPS · Series 2,monitors,12599,7800,57,Full HD IPS office monitor with HDMI and ergonomic stand.,"{""size_inches"": 24, ""resolution"": ""1080p"", ""refresh_hz"": 100}",[],4,7,1 year manufacturer warranty
KEY-002,Keycraft Mechanical · Series 2,keyboards,3599,1900,57,Compact wireless mechanical keyboard for office and gaming.,"{""wireless"": true, ""layout"": ""TKL""}",[],4,7,1 year manufacturer warranty
CHR-002,Volt 65W GaN · Series 2,chargers,2599,1200,57,Compact USB-C fast charger for laptops and devices.,"{""watts"": 65, ""connector"": ""USB-C""}","[""LAP-002""]",4,7,1 year manufacturer warranty
ADP-002,Link Bluetooth 5.3 · Series 2,adapters,599,200,57,Bluetooth adapter connects wireless headphones to an office PC.,"{""wireless"": true, ""connector"": ""USB-A""}","[""HDP-002""]",4,7,1 year manufacturer warranty
MOU-002,Glide Silent Mouse · Series 2,mice,1399,650,57,Light wireless office mouse with silent clicks.,"{""wireless"": true, ""weight_g"": 70}",[],4,7,1 year manufacturer warranty
LAP-002,Workstation Air 14 · Series 2,laptops,65099,45000,57,Portable office laptop with a 14-inch display and USB-C charging.,"{""ram_gb"": 16, ""storage_gb"": 512}",[],4,7,1 year manufacturer warranty
HDS-002,Studio Wired Reference · Series 2,headphones,5599,3200,57,Wired studio headphones for detailed sound.,"{""wireless"": false, ""weight_g"": 280}",[],4,7,1 year manufacturer warranty
M32-002,Viewpoint 32 QHD · Series 2,monitors,25099,16000,57,Large QHD productivity monitor with vivid IPS display.,"{""size_inches"": 32, ""resolution"": ""1440p""}",[],4,7,1 year manufacturer warranty
HUB-002,Dock Seven USB-C · Series 2,adapters,4099,2200,57,Seven port USB-C dock with HDMI and USB accessories.,"{""connector"": ""USB-C"", ""ports"": 7}","[""LAP-002""]",4,7,1 year manufacturer warranty
HDP-003,Airwave Pro Wireless · Series 3,headphones,7699,4600,54,Lightweight wireless headphones for gaming and office meetings. Clear microphone and long battery life.,"{""wireless"": true, ""battery_hours"": 40, ""weight_g"": 210, ""microphone"": true}",[],5,7,1 year manufacturer warranty
MON-003,Viewpoint 24 IPS · Series 3,monitors,12699,7800,54,Full HD IPS office monitor with HDMI and ergonomic stand.,"{""size_inches"": 24, ""resolution"": ""1080p"", ""refresh_hz"": 100}",[],5,7,1 year manufacturer warranty
KEY-003,Keycraft Mechanical · Series 3,keyboards,3699,1900,54,Compact wireless mechanical keyboard for office and gaming.,"{""wireless"": true, ""layout"": ""TKL""}",[],5,7,1 year manufacturer warranty
CHR-003,Volt 65W GaN · Series 3,chargers,2699,1200,54,Compact USB-C fast charger for laptops and devices.,"{""watts"": 65, ""connector"": ""USB-C""}","[""LAP-003""]",5,7,1 year manufacturer warranty
ADP-003,Link Bluetooth 5.3 · Series 3,adapters,699,200,54,Bluetooth adapter connects wireless headphones to an office PC.,"{""wireless"": true, ""connector"": ""USB-A""}","[""HDP-003""]",5,7,1 year manufacturer warranty
MOU-003,Glide Silent Mouse · Series 3,mice,1499,650,54,Light wireless office mouse with silent clicks.,"{""wireless"": true, ""weight_g"": 70}",[],5,7,1 year manufacturer warranty
LAP-003,Workstation Air 14 · Series 3,laptops,65199,45000,54,Portable office laptop with a 14-inch display and USB-C charging.,"{""ram_gb"": 16, ""storage_gb"": 512}",[],5,7,1 year manufacturer warranty
HDS-003,Studio Wired Reference · Series 3,headphones,5699,3200,54,Wired studio headphones for detailed sound.,"{""wireless"": false, ""weight_g"": 280}",[],5,7,1 year manufacturer warranty
M32-003,Viewpoint 32 QHD · Series 3,monitors,25199,16000,54,Large QHD productivity monitor with vivid IPS display.,"{""size_inches"": 32, ""resolution"": ""1440p""}",[],5,7,1 year manufacturer warranty
HUB-003,Dock Seven USB-C · Series 3,adapters,4199,2200,54,Seven port USB-C dock with HDMI and USB accessories.,"{""connector"": ""USB-C"", ""ports"": 7}","[""LAP-003""]",5,7,1 year manufacturer warranty
HDP-004,Airwave Pro Wireless · Series 4,headphones,7799,4600,51,Lightweight wireless headphones for gaming and office meetings. Clear microphone and long battery life.,"{""wireless"": true, ""battery_hours"": 40, ""weight_g"": 210, ""microphone"": true}",[],3,7,1 year manufacturer warranty
MON-004,Viewpoint 24 IPS · Series 4,monitors,12799,7800,51,Full HD IPS office monitor with HDMI and ergonomic stand.,"{""size_inches"": 24, ""resolution"": ""1080p"", ""refresh_hz"": 100}",[],3,7,1 year manufacturer warranty
KEY-004,Keycraft Mechanical · Series 4,keyboards,3799,1900,51,Compact wireless mechanical keyboard for office and gaming.,"{""wireless"": true, ""layout"": ""TKL""}",[],3,7,1 year manufacturer warranty
CHR-004,Volt 65W GaN · Series 4,chargers,2799,1200,51,Compact USB-C fast charger for laptops and devices.,"{""watts"": 65, ""connector"": ""USB-C""}","[""LAP-004""]",3,7,1 year manufacturer warranty
ADP-004,Link Bluetooth 5.3 · Series 4,adapters,799,200,51,Bluetooth adapter connects wireless headphones to an office PC.,"{""wireless"": true, ""connector"": ""USB-A""}","[""HDP-004""]",3,7,1 year manufacturer warranty
MOU-004,Glide Silent Mouse · Series 4,mice,1599,650,51,Light wireless office mouse with silent clicks.,"{""wireless"": true, ""weight_g"": 70}",[],3,7,1 year manufacturer warranty
LAP-004,Workstation Air 14 · Series 4,laptops,65299,45000,51,Portable office laptop with a 14-inch display and USB-C charging.,"{""ram_gb"": 16, ""storage_gb"": 512}",[],3,7,1 year manufacturer warranty
HDS-004,Studio Wired Reference · Series 4,headphones,5799,3200,51,Wired studio headphones for detailed sound.,"{""wireless"": false, ""weight_g"": 280}",[],3,7,1 year manufacturer warranty
M32-004,Viewpoint 32 QHD · Series 4,monitors,25299,16000,51,Large QHD productivity monitor with vivid IPS display.,"{""size_inches"": 32, ""resolution"": ""1440p""}",[],3,7,1 year manufacturer warranty
HUB-004,Dock Seven USB-C · Series 4,adapters,4299,2200,51,Seven port USB-C dock with HDMI and USB accessories.,"{""connector"": ""USB-C"", ""ports"": 7}","[""LAP-004""]",3,7,1 year manufacturer warranty
HDP-005,Airwave Pro Wireless · Series 5,headphones,7899,4600,48,Lightweight wireless headphones for gaming and office meetings. Clear microphone and long battery life.,"{""wireless"": true, ""battery_hours"": 40, ""weight_g"": 210, ""microphone"": true}",[],4,7,1 year manufacturer warranty
MON-005,Viewpoint 24 IPS · Series 5,monitors,12899,7800,48,Full HD IPS office monitor with HDMI and ergonomic stand.,"{""size_inches"": 24, ""resolution"": ""1080p"", ""refresh_hz"": 100}",[],4,7,1 year manufacturer warranty
KEY-005,Keycraft Mechanical · Series 5,keyboards,3899,1900,48,Compact wireless mechanical keyboard for office and gaming.,"{""wireless"": true, ""layout"": ""TKL""}",[],4,7,1 year manufacturer warranty
CHR-005,Volt 65W GaN · Series 5,chargers,2899,1200,48,Compact USB-C fast charger for laptops and devices.,"{""watts"": 65, ""connector"": ""USB-C""}","[""LAP-005""]",4,7,1 year manufacturer warranty
ADP-005,Link Bluetooth 5.3 · Series 5,adapters,899,200,48,Bluetooth adapter connects wireless headphones to an office PC.,"{""wireless"": true, ""connector"": ""USB-A""}","[""HDP-005""]",4,7,1 year manufacturer warranty
